"TIME","GEO","C_RESID","UNIT","NACE_R2","Value","Flag and Footnotes"
"2010","Bulgaria","Total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","4,344,510",""
"2010","Bulgaria","Total","Number","Hotels and similar accommodation","4,060,576",""
"2010","Bulgaria","Total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","283,934",""
"2010","Bulgaria","Total","Number","Holiday and other short-stay accommodation","272,333",""
"2010","Bulgaria","Total","Number","Camping grounds, recreational vehicle parks and trailer parks","11,601",""
"2010","Bulgaria","Total","Percentage change on previous period","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","0.09",""
"2010","Bulgaria","Total","Percentage change on previous period","Hotels and similar accommodation","0.72",""
"2010","Bulgaria","Total","Percentage change on previous period","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","-8.2",""
"2010","Bulgaria","Total","Percentage change on previous period","Holiday and other short-stay accommodation","-8.54",""
"2010","Bulgaria","Total","Percentage change on previous period","Camping grounds, recreational vehicle parks and trailer parks","0.42",""
"2010","Czechia","Foreign country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","6,333,996",""
"2010","Czechia","Foreign country","Number","Hotels and similar accommodation","5,974,227",""
"2010","Czechia","Foreign country","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","359,769",""
"2010","Czechia","Foreign country","Number","Holiday and other short-stay accommodation","250,380",""
"2010","Czechia","Foreign country","Number","Camping grounds, recreational vehicle parks and trailer parks","109,389",""
"2010","Czechia","Foreign country","Percentage change on previous period","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","5",""
"2010","Czechia","Foreign country","Percentage change on previous period","Hotels and similar accommodation","6.51",""
"2010","Czechia","Foreign country","Percentage change on previous period","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","-15.02",""
"2010","Czechia","Foreign country","Percentage change on previous period","Holiday and other short-stay accommodation","-7.06",""
"2010","Czechia","Foreign country","Percentage change on previous period","Camping grounds, recreational vehicle parks and trailer parks","-28.94",""
"2010","Czechia","Reporting country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","5,877,882",""
"2010","Czechia","Reporting country","Number","Hotels and similar accommodation","3,815,700",""
"2010","Czechia","Reporting country","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,062,182",""
"2010","Czechia","Reporting country","Number","Holiday and other short-stay accommodation","1,358,107",""
"2010","Czechia","Reporting country","Number","Camping grounds, recreational vehicle parks and trailer parks","704,075",""
"2010","Czechia","Reporting country","Percentage change on previous period","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","-1.27",""
"2010","Czechia","Reporting country","Percentage change on previous period","Hotels and similar accommodation","2.4",""
"2010","Czechia","Reporting country","Percentage change on previous period","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","-7.42",""
"2010","Czechia","Reporting country","Percentage change on previous period","Holiday and other short-stay accommodation","-5.78",""
"2010","Czechia","Reporting country","Percentage change on previous period","Camping grounds, recreational vehicle parks and trailer parks","-10.42",""
"2010","Czechia","Total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","12,211,878",""
"2010","Czechia","Total","Number","Hotels and similar accommodation","9,789,927",""
